Country,Sex,Year,Mean total cholesterol (mmol/L),Mean total cholesterol lower 95% uncertainty interval (mmol/L),Mean total cholesterol upper 95% uncertainty interval (mmol/L),Mean non-HDL cholesterol (mmol/L),Mean non-HDL cholesterol lower 95% uncertainty interval (mmol/L),Mean non-HDL cholesterol upper 95% uncertainty interval (mmol/L),Mean HDL cholesterol (mmol/L),Mean HDL cholesterol lower 95% uncertainty interval (mmol/L),Mean HDL cholesterol upper 95% uncertainty interval (mmol/L)
United States of America,Men,1980,5.311145623,5.081339295,5.548715452,4.048760349,3.892282202,4.199694545,1.265044209,1.174316601,1.354182259
United States of America,Men,1981,5.295266417,5.086535827,5.509513267,4.036796298,3.890898797,4.178630016,1.258637445,1.175009608,1.340414815
United States of America,Men,1982,5.279948778,5.084537618,5.478732744,4.02564738,3.890797418,4.156310935,1.252080056,1.1761951,1.326811906
United States of America,Men,1983,5.265378205,5.082597355,5.446221759,4.015606548,3.88833825,4.137985853,1.245286283,1.175430122,1.314430122
United States of America,Men,1984,5.251468156,5.080072059,5.419876875,4.006530022,3.888702277,4.122088188,1.238148669,1.173289904,1.303560087
United States of America,Men,1985,5.238367256,5.076387421,5.396957261,3.99851913,3.888225763,4.10678287,1.230814117,1.169256519,1.292594837
United States of America,Men,1986,5.225497485,5.07543208,5.374161386,3.990812468,3.886466227,4.09336071,1.223346132,1.164937191,1.281720559
United States of America,Men,1987,5.212590595,5.068735538,5.353512001,3.982982255,3.883599159,4.080519755,1.215947541,1.159846974,1.271967873
United States of America,Men,1988,5.199068586,5.063333308,5.335016273,3.974200991,3.879291131,4.06931468,1.208705966,1.155082498,1.261775475
United States of America,Men,1989,5.184197076,5.053665182,5.316338788,3.963512128,3.870733385,4.056446562,1.201750825,1.149242137,1.253349203
United States of America,Men,1990,5.167962663,5.043848045,5.295920364,3.950849419,3.85999972,4.041958254,1.195164472,1.143361763,1.246141006
United States of America,Men,1991,5.15078423,5.030945939,5.274167747,3.936648229,3.846054779,4.027934323,1.189125702,1.138820408,1.238269813
United States of America,Men,1992,5.133261313,5.016680247,5.251060053,3.921728834,3.831976135,4.012137426,1.183983838,1.134111821,1.232444983
United States of America,Men,1993,5.115309164,5.002173523,5.228313979,3.905963803,3.817585225,3.996834763,1.179759221,1.129549839,1.228292414
United States of America,Men,1994,5.097007094,4.98537165,5.208998921,3.88946593,3.802601129,3.979021911,1.176696092,1.126582686,1.224697716
United States of America,Men,1995,5.07858594,4.96546968,5.189214625,3.872494241,3.785778897,3.96142243,1.174949091,1.124395363,1.223193543
United States of America,Men,1996,5.059935689,4.946467379,5.171553143,3.854917161,3.769591246,3.944513159,1.174511239,1.12370131,1.223203454
United States of America,Men,1997,5.041296439,4.92797318,5.15614187,3.837056,3.752862347,3.927462982,1.175432522,1.125282518,1.223249748
United States of America,Men,1998,5.022250134,4.906773697,5.138436052,3.818304678,3.732702143,3.908939673,1.177599764,1.126802947,1.224903579
United States of America,Men,1999,5.002480545,4.885601362,5.119320367,3.798300311,3.713552053,3.887820387,1.180730981,1.130346075,1.22781988
United States of America,Men,2000,4.9817896,4.864479747,5.097903219,3.776803903,3.691892609,3.865595946,1.184544695,1.134222021,1.23160938
United States of America,Men,2001,4.960164124,4.841843619,5.079412606,3.753836629,3.669908108,3.841846326,1.188968818,1.139312867,1.236036625
United States of America,Men,2002,4.937672705,4.818819457,5.057778044,3.729639722,3.646001837,3.816629653,1.193803914,1.146183189,1.241198938
United States of America,Men,2003,4.914328704,4.793200368,5.0332104,3.704242039,3.622108506,3.788590661,1.198497488,1.151919142,1.24555736
United States of America,Men,2004,4.890389585,4.767836569,5.008114176,3.678117633,3.597436157,3.762175339,1.202617142,1.156705177,1.249689106
United States of America,Men,2005,4.865968237,4.742146914,4.985940191,3.651416007,3.571376175,3.735040889,1.206109265,1.160340928,1.252359279
United States of America,Men,2006,4.841606957,4.718822483,4.960044918,3.624811533,3.545098941,3.70721958,1.209263987,1.163728496,1.255042972
United States of America,Men,2007,4.818085863,4.69545021,4.937554478,3.599406435,3.520618721,3.681932358,1.212434715,1.166893985,1.256975587
United States of America,Men,2008,4.795361489,4.671213966,4.915691519,3.57507684,3.497619247,3.656765632,1.215924242,1.170962515,1.260281148
United States of America,Men,2009,4.773278025,4.649085513,4.893191416,3.551695809,3.473523162,3.633378813,1.219675077,1.173682889,1.265078826
United States of America,Men,2010,4.75175202,4.624127192,4.874321451,3.5289956,3.447182009,3.613553305,1.223643733,1.177468906,1.270391598
United States of America,Men,2011,4.730673653,4.600849334,4.858351795,3.506691938,3.421270707,3.594362149,1.228158046,1.179666987,1.276865855
United States of America,Men,2012,4.709847598,4.57245227,4.84764281,3.484659164,3.394379956,3.5757135,1.233232757,1.181726832,1.285770939
United States of America,Men,2013,4.688833341,4.540314883,4.839724934,3.462180204,3.366455998,3.559708827,1.23878297,1.182288661,1.296141728
United States of America,Men,2014,4.667460188,4.502182635,4.834104556,3.439103866,3.334566349,3.543986652,1.244594976,1.183016203,1.308478719
United States of America,Men,2015,4.64582805,4.457919649,4.834745296,3.415525654,3.302307639,3.529775979,1.250608905,1.180076325,1.322992778
United States of America,Men,2016,4.624159069,4.408134274,4.840649589,3.391800534,3.268955811,3.515052044,1.256771235,1.17730503,1.339672205
United States of America,Men,2017,4.602322161,4.35451093,4.849060532,3.367810699,3.233140605,3.50203724,1.263027951,1.171174474,1.357369617
United States of America,Men,2018,4.580378264,4.298759512,4.860687583,3.343564448,3.194846343,3.489200803,1.269410691,1.165486618,1.376399036
United States of America,Women,1980,5.422660261,5.174597566,5.674146695,3.914945161,3.756934424,4.070033129,1.477158463,1.379407913,1.575703686
United States of America,Women,1981,5.400754863,5.172406612,5.624385576,3.895511631,3.746118643,4.038050756,1.473772686,1.384943099,1.563532773
United States of America,Women,1982,5.379147735,5.172402728,5.581127042,3.876474794,3.736407058,4.009659432,1.470228887,1.388632537,1.552117514
United States of America,Women,1983,5.357461725,5.170102192,5.543282731,3.857414169,3.72637522,3.982040758,1.466328539,1.389634176,1.54398015
United States of America,Women,1984,5.33554823,5.160000411,5.509902474,3.838144562,3.716073581,3.954588466,1.461920251,1.39104399,1.534243647
United States of America,Women,1985,5.312998584,5.14775165,5.475066582,3.818201268,3.703497827,3.928736953,1.456971016,1.390629729,1.524256386
United States of America,Women,1986,5.290317891,5.13450225,5.444740226,3.798068671,3.689878858,3.903638115,1.451888946,1.388476938,1.516474913
United States of America,Women,1987,5.267645911,5.121300116,5.415431261,3.777869398,3.675568846,3.878958075,1.446926401,1.3870242,1.508098478
United States of America,Women,1988,5.244204748,5.103872945,5.387090915,3.756595425,3.659818563,3.855364469,1.441843499,1.383769004,1.500536987
United States of America,Women,1989,5.219837453,5.084031813,5.356721761,3.733950501,3.640481532,3.828875518,1.436788123,1.380980297,1.493352572
United States of America,Women,1990,5.194583694,5.062700902,5.329276911,3.710044386,3.619505536,3.802260397,1.431895418,1.377678082,1.485755666
United States of America,Women,1991,5.169438507,5.041627051,5.299563361,3.686044762,3.597777795,3.776768121,1.4275799,1.374454967,1.479859359
United States of America,Women,1992,5.144906285,5.021014729,5.272066781,3.662632567,3.577581746,3.751855728,1.424049592,1.372098694,1.47625167
United States of America,Women,1993,5.121418144,4.997016156,5.245332441,3.64019171,3.556641877,3.727721214,1.421541474,1.369204558,1.472960838
United States of America,Women,1994,5.099098016,4.976348619,5.220192968,3.618851715,3.537114533,3.70457697,1.42024824,1.369006894,1.47184614
United States of America,Women,1995,5.077912718,4.960295172,5.19405478,3.598567554,3.519306783,3.683313226,1.420289447,1.370099734,1.470249909
United States of America,Women,1996,5.057557901,4.943444973,5.171920195,3.579001105,3.501746606,3.661325309,1.421674102,1.372031578,1.470929645
United States of America,Women,1997,5.038316141,4.924020757,5.154221557,3.560442057,3.48356444,3.640627655,1.424504878,1.376108484,1.473013865
United States of America,Women,1998,5.019917155,4.905752542,5.134428154,3.542635455,3.467275222,3.623717232,1.42853675,1.380125675,1.475538951
United States of America,Women,1999,5.002032975,4.889329193,5.11426254,3.525281186,3.449775524,3.605171165,1.433429732,1.385798173,1.480241221
United States of America,Women,2000,4.984246615,4.87085469,5.095506274,3.507768859,3.432749176,3.587765746,1.438838584,1.39174415,1.485347985
United States of America,Women,2001,4.966348314,4.851570722,5.082014166,3.489850354,3.415445277,3.569700658,1.444657351,1.398519153,1.490726931
United States of America,Women,2002,4.948616206,4.831472306,5.066486057,3.472023085,3.398093607,3.550994643,1.450763953,1.40382447,1.496867088
United States of America,Women,2003,4.930849284,4.812454349,5.0525413,3.453956153,3.379376699,3.531698277,1.456690698,1.409546595,1.502816985
United States of America,Women,2004,4.91295288,4.792959862,5.033372767,3.435662808,3.360614031,3.512689161,1.462278385,1.415428509,1.508312832
United States of America,Women,2005,4.895174412,4.774299593,5.01459733,3.4173632,3.341355229,3.496119356,1.467518833,1.420994622,1.514650217
United States of America,Women,2006,4.877792541,4.755293137,4.998216495,3.399502613,3.32304171,3.479526685,1.472510629,1.426163358,1.519807044
United States of America,Women,2007,4.861127172,4.738231919,4.98295375,3.382582658,3.305336463,3.46330924,1.477454082,1.430808912,1.524760135
United States of America,Women,2008,4.845421775,4.721616752,4.970239004,3.366716119,3.289482733,3.448857251,1.482736933,1.434543152,1.531108109
United States of America,Women,2009,4.830032426,4.705750345,4.956184467,3.351208657,3.272038893,3.435003735,1.488348231,1.439037653,1.538700894
United States of America,Women,2010,4.814913687,4.689843614,4.946657031,3.336056672,3.253971179,3.422044083,1.494273751,1.444034483,1.546465835
United States of America,Women,2011,4.799745018,4.67220364,4.93546833,3.320698476,3.235307016,3.409378342,1.500599311,1.448926465,1.553904698
United States of America,Women,2012,4.784603995,4.648090295,4.929658665,3.305344573,3.213542673,3.399217307,1.507520929,1.452326528,1.563100239
United States of America,Women,2013,4.769213426,4.619739691,4.926160976,3.289530811,3.191416368,3.388183624,1.514967184,1.455011359,1.575145984
United States of America,Women,2014,4.753741646,4.58457427,4.930463044,3.273431518,3.166484325,3.379306354,1.522839912,1.455754096,1.589481172
United States of America,Women,2015,4.737982446,4.541238556,4.941040575,3.256876927,3.140834022,3.37282835,1.531040635,1.457127498,1.606324394
United States of America,Women,2016,4.722174634,4.495730673,4.956115128,3.240187084,3.112248897,3.367516285,1.539433654,1.455517906,1.625028578
United States of America,Women,2017,4.706125734,4.445026156,4.975658263,3.22316738,3.084903422,3.362348187,1.547878076,1.45341914,1.645399655
United States of America,Women,2018,4.68989413,4.382559037,4.998075713,3.205859471,3.054440466,3.359353223,1.55631261,1.450121766,1.665963515
